SpecificHeatCapacity_composition_average,MeltingT_composition_average,HeatVaporization_composition_average,BCCvolume_padiff_composition_average,NdValence_composition_average,IonicRadii_composition_average,HeatCapacityMass_composition_average,MendeleevNumber_composition_average,IsFCC_composition_average,GSenergy_pa_composition_average,NUnfilled_composition_average,HHIr_composition_average,ElasticModulus_composition_average,ElectronAffinity_composition_average,valence_composition_average,BCCmagmom_composition_average,MiracleRadius_composition_average,BCCenergy_pa_composition_average,HeatFusion_composition_average,ThirdIonizationEnergy_composition_average
0.4765,1585.885,302.65,-0.0125,5.5,0.74,0.4765,37.5,0.5,-4.983083955,5.0,3000.0,102.0,68.2,2.5,0.0,144.0,-4.90748922,13.85,30.795
0.5425,1522.385,329.75,-2.91,5.0,0.495,0.5485,71.0,1.0,-4.5527864125,2.5,1250.0,143.0,125.94999999999999,3.0,0.0,118.0,-4.2724488350000005,31.905,35.161
0.3065,931.425,295.435,-4.0225,10.0,0.72,0.306,72.0,0.5,-3.820850955,2.5,1550.0,87.0,119.65,3.0,0.0,140.5,-3.76890636,10.375,33.666
0.2625,2323.885,518.75,0.005,6.5,0.685,0.2625,56.0,0.5,-7.76602718,4.0,3150.0,153.5,89.15,3.5,0.0,135.5,-7.74714341,25.085,18.415
0.3125,1893.885,401.25,0.0825,7.5,0.645,0.1925,58.5,0.5,-7.017903007499999,3.0,750.0,252.0,94.15,4.5,0.0,131.0,-6.86732433,23.445,33.185
0.454,1649.385,362.85,0.08,6.0,0.6699999999999999,0.4545,53.5,0.5,-5.727940970000001,4.5,1550.0,117.0,69.15,3.0,0.0,134.0,-5.652077695,13.875,32.1605
0.257,967.385,231.29500000000002,-0.325,10.0,1.1600000000000001,0.257,70.0,0.5,-2.976666175,3.0,4000.0,68.0,74.15,2.5,0.0,149.0,-2.947892505,8.871,33.329499999999996
0.437,1770.385,373.6,0.005,6.5,0.635,0.437,55.0,0.5,-6.309957754999999,4.0,2450.0,126.5,84.15,3.5,0.0,130.0,-6.291073985,17.55,33.07
0.2575,2526.385,361.53999999999996,0.005,7.0,0.665,0.2585,57.5,0.5,-8.31972772,3.5,2900.0,262.5,89.15,4.0,0.0,130.5,-8.30084395,32.955,18.415
0.3865,1025.225,207.9,0.10500000000000001,10.0,0.735,0.3865,66.5,0.5,-2.4603273675,0.5,1700.0,109.5,59.15,2.0,0.0,133.0,-2.39998939,10.334,38.275999999999996
0.3315,1742.885,445.5,-0.2175,6.0,0.7849999999999999,0.3315,54.0,0.5,-6.1133066875,4.5,2050.0,109.0,84.15,3.0,0.0,142.0,-6.055081075,17.3,29.909999999999997
0.449,1811.0,349.5,0.0,6.0,0.55,0.449,55.0,0.0,-8.28548436,4.0,1400.0,211.0,24.0,6.0,2.1106628,125.0,-8.28548436,13.81,30.651
0.6745,1372.2350000000001,320.15,0.22,3.0,0.545,0.673,64.0,0.5,-6.01545374,4.5,1200.0,140.75,34.5,4.5,1.0553314,133.0,-5.967835745,12.260000000000002,29.549
0.3895,1450.5,190.95,-1.5825,8.0,0.565,0.389,69.5,0.0,-6.4681867375,3.5,2700.0,125.0,50.5,5.5,1.0553314,120.0,-6.250224175,19.125,29.500999999999998
0.2855,1177.7,264.25,-1.52,8.0,0.79,0.2855,70.5,0.0,-6.12958938,3.5,3700.0,122.5,67.0,5.5,1.0553314,143.5,-6.09043405,12.458,28.105
